split,class,image,reason
train,A,288.png,expected_2_got_1
train,A,289.png,expected_2_got_1
train,A,290.png,expected_2_got_1
train,A,291.png,expected_2_got_1
train,A,292.png,no_hands_detected
train,A,293.png,expected_2_got_1
train,A,295.png,expected_2_got_1
train,A,296.png,expected_2_got_1
train,A,297.png,expected_2_got_1
train,A,298.png,expected_2_got_1
train,A,299.png,expected_2_got_1
train,A,300.png,expected_2_got_1
train,A,301.png,expected_2_got_1
train,A,302.png,expected_2_got_1
train,A,303.png,expected_2_got_1
train,A,304.png,no_hands_detected
train,A,305.png,expected_2_got_1
train,A,306.png,expected_2_got_1
train,A,307.png,expected_2_got_1
train,A,308.png,expected_2_got_1
train,A,310.png,no_hands_detected
train,A,313.png,expected_2_got_1
train,A,315.png,expected_2_got_1
train,A,316.png,no_hands_detected
train,A,317.png,no_hands_detected
train,A,318.png,no_hands_detected
train,A,320.png,expected_2_got_1
train,A,321.png,expected_2_got_1
train,A,322.png,expected_2_got_1
train,A,324.png,expected_2_got_1
train,A,325.png,expected_2_got_1
train,A,326.png,no_hands_detected
train,A,327.png,expected_2_got_1
train,A,328.png,no_hands_detected
train,A,329.png,no_hands_detected
train,A,330.png,expected_2_got_1
train,A,331.png,expected_2_got_1
train,A,332.png,expected_2_got_1
train,A,333.png,expected_2_got_1
train,A,335.png,expected_2_got_1
train,A,336.png,expected_2_got_1
train,A,338.png,expected_2_got_1
train,A,341.png,no_hands_detected
train,A,342.png,no_hands_detected
train,A,343.png,no_hands_detected
train,A,344.png,no_hands_detected
train,A,345.png,no_hands_detected
train,A,346.png,no_hands_detected
train,A,347.png,no_hands_detected
train,A,348.png,no_hands_detected
train,A,349.png,no_hands_detected
train,A,350.png,no_hands_detected
train,A,351.png,no_hands_detected
train,A,352.png,no_hands_detected
train,A,353.png,no_hands_detected
train,A,354.png,no_hands_detected
train,A,355.png,no_hands_detected
train,A,356.png,expected_2_got_1
train,A,357.png,no_hands_detected
train,A,358.png,no_hands_detected
train,A,359.png,no_hands_detected
train,A,361.png,no_hands_detected
train,A,362.png,expected_2_got_1
train,A,363.png,expected_2_got_1
train,A,364.png,expected_2_got_1
train,A,365.png,expected_2_got_1
train,A,367.png,expected_2_got_1
train,A,368.png,expected_2_got_1
train,A,370.png,expected_2_got_1
train,A,371.png,expected_2_got_1
train,A,372.png,expected_2_got_1
train,A,373.png,expected_2_got_1
train,A,374.png,expected_2_got_1
train,A,375.png,expected_2_got_1
train,A,376.png,expected_2_got_1
train,A,377.png,no_hands_detected
train,A,378.png,expected_2_got_1
train,A,380.png,expected_2_got_1
train,A,381.png,no_hands_detected
train,A,382.png,expected_2_got_1
train,A,383.png,expected_2_got_1
train,A,384.png,expected_2_got_1
train,A,385.png,expected_2_got_1
train,A,389.png,expected_2_got_1
train,A,391.png,expected_2_got_1
train,A,392.png,no_hands_detected
train,A,393.png,no_hands_detected
train,A,394.png,no_hands_detected
train,A,395.png,no_hands_detected
train,A,396.png,no_hands_detected
train,A,397.png,no_hands_detected
train,A,398.png,no_hands_detected
train,A,399.png,no_hands_detected
train,A,400.png,no_hands_detected
train,A,402.png,expected_2_got_1
train,A,403.png,no_hands_detected
train,A,405.png,no_hands_detected
train,A,546.png,expected_2_got_1
train,A,547.png,expected_2_got_1
train,A,548.png,expected_2_got_1
train,A,549.png,expected_2_got_1
train,A,550.png,expected_2_got_1
train,A,554.png,expected_2_got_1
train,A,555.png,expected_2_got_1
train,A,556.png,expected_2_got_1
train,A,557.png,expected_2_got_1
train,A,558.png,expected_2_got_1
train,A,559.png,expected_2_got_1
train,A,564.png,expected_2_got_1
train,A,565.png,expected_2_got_1
train,A,566.png,expected_2_got_1
train,A,567.png,expected_2_got_1
train,A,568.png,expected_2_got_1
train,A,570.png,expected_2_got_1
train,A,571.png,expected_2_got_1
train,A,576.png,expected_2_got_1
train,A,577.png,expected_2_got_1
train,A,578.png,expected_2_got_1
train,A,579.png,expected_2_got_1
train,A,580.png,expected_2_got_1
train,A,581.png,expected_2_got_1
train,A,583.png,expected_2_got_1
train,A,584.png,expected_2_got_1
train,A,585.png,expected_2_got_1
train,A,588.png,expected_2_got_1
train,A,589.png,expected_2_got_1
train,A,600.png,expected_2_got_1
train,A,601.png,expected_2_got_1
train,A,603.png,expected_2_got_1
train,A,604.png,expected_2_got_1
train,A,605.png,expected_2_got_1
train,A,608.png,expected_2_got_1
train,A,609.png,expected_2_got_1
train,A,610.png,expected_2_got_1
train,A,611.png,expected_2_got_1
train,A,613.png,expected_2_got_1
train,A,614.png,expected_2_got_1
train,A,615.png,expected_2_got_1
train,A,618.png,expected_2_got_1
train,A,619.png,expected_2_got_1
train,A,620.png,expected_2_got_1
train,A,621.png,expected_2_got_1
train,A,622.png,expected_2_got_1
train,A,623.png,expected_2_got_1
train,A,624.png,expected_2_got_1
train,A,640.png,expected_2_got_1
train,A,641.png,expected_2_got_1
train,A,652.png,expected_2_got_1
train,A,653.png,expected_2_got_1
train,A,654.png,expected_2_got_1
train,A,814.png,expected_2_got_1
train,A,815.png,expected_2_got_1
train,A,816.png,expected_2_got_1
train,A,817.png,expected_2_got_1
train,A,818.png,expected_2_got_1
train,A,820.png,expected_2_got_1
train,A,821.png,expected_2_got_1
train,A,822.png,expected_2_got_1
train,A,823.png,expected_2_got_1
train,A,824.png,expected_2_got_1
train,A,825.png,expected_2_got_1
train,A,826.png,expected_2_got_1
train,A,827.png,expected_2_got_1
train,A,829.png,expected_2_got_1
train,A,830.png,expected_2_got_1
train,A,831.png,expected_2_got_1
train,A,833.png,no_hands_detected
train,A,834.png,no_hands_detected
train,A,835.png,no_hands_detected
train,A,836.png,expected_2_got_1
train,A,837.png,expected_2_got_1
train,A,838.png,expected_2_got_1
train,A,839.png,expected_2_got_1
train,A,840.png,no_hands_detected
train,A,842.png,expected_2_got_1
train,A,844.png,expected_2_got_1
train,A,845.png,expected_2_got_1
train,A,846.png,no_hands_detected
train,A,847.png,no_hands_detected
train,A,849.png,expected_2_got_1
train,A,850.png,no_hands_detected
train,A,851.png,no_hands_detected
train,A,852.png,no_hands_detected
train,A,854.png,no_hands_detected
train,A,855.png,no_hands_detected
train,A,856.png,expected_2_got_1
train,A,857.png,expected_2_got_1
train,A,858.png,expected_2_got_1
train,A,885.jpg,"invalid_handedness_['Left', 'Left']"
train,A,886.jpg,"invalid_handedness_['Left', 'Left']"
train,A,899.jpg,"invalid_handedness_['Left', 'Left']"
train,A,996.png,no_hands_detected
train,A,997.png,no_hands_detected
train,A,998.png,no_hands_detected
train,A,A1.jpg,no_hands_detected
train,A,A10.jpg,expected_2_got_1
train,A,A101.jpg,no_hands_detected
train,A,A103.jpg,no_hands_detected
train,A,A104.jpg,expected_2_got_1
train,A,A107.jpg,no_hands_detected
train,A,A109.jpg,no_hands_detected
train,A,A110.jpg,no_hands_detected
train,A,A112.jpg,expected_2_got_1
train,A,A113.jpg,no_hands_detected
train,A,A114.jpg,no_hands_detected
train,A,A116.jpg,no_hands_detected
train,A,A117.jpg,no_hands_detected
train,A,A119.jpg,no_hands_detected
train,A,A12.jpg,no_hands_detected
train,A,A121.jpg,expected_2_got_1
train,A,A123.jpg,no_hands_detected
train,A,A124.jpg,no_hands_detected
train,A,A126.jpg,expected_2_got_1
train,A,A128.jpg,expected_2_got_1
train,A,A13.jpg,no_hands_detected
train,A,A130.jpg,no_hands_detected
train,A,A131.jpg,expected_2_got_1
train,A,A132.jpg,expected_2_got_1
train,A,A133.jpg,no_hands_detected
train,A,A134.jpg,no_hands_detected
train,A,A136.jpg,no_hands_detected
train,A,A137.jpg,no_hands_detected
train,A,A139.jpg,no_hands_detected
train,A,A14.jpg,no_hands_detected
train,A,A140.jpg,no_hands_detected
train,A,A141.jpg,expected_2_got_1
train,A,A142.jpg,expected_2_got_1
train,A,A144.jpg,no_hands_detected
train,A,A146.jpg,no_hands_detected
train,A,A147.jpg,expected_2_got_1
train,A,A148.jpg,no_hands_detected
train,A,A149.jpg,no_hands_detected
train,A,A15.jpg,no_hands_detected
train,A,A150.jpg,no_hands_detected
train,A,A152.jpg,expected_2_got_1
train,A,A154.jpg,no_hands_detected
train,A,A157.jpg,no_hands_detected
train,A,A158.jpg,no_hands_detected
train,A,A16.jpg,expected_2_got_1
train,A,A162.jpg,expected_2_got_1
train,A,A164.jpg,no_hands_detected
train,A,A166.jpg,no_hands_detected
train,A,A167.jpg,no_hands_detected
train,A,A168.jpg,expected_2_got_1
train,A,A169.jpg,expected_2_got_1
train,A,A17.jpg,expected_2_got_1
train,A,A171.jpg,expected_2_got_1
train,A,A172.jpg,no_hands_detected
train,A,A173.jpg,no_hands_detected
train,A,A174.jpg,expected_2_got_1
train,A,A176.jpg,expected_2_got_1
train,A,A177.jpg,no_hands_detected
train,A,A178.jpg,no_hands_detected
train,A,A179.jpg,no_hands_detected
train,A,A18.jpg,expected_2_got_1
train,A,A183.jpg,expected_2_got_1
train,A,A184.jpg,no_hands_detected
train,A,A188.jpg,no_hands_detected
train,A,A189.jpg,no_hands_detected
train,A,A19.jpg,no_hands_detected
train,A,A193.jpg,no_hands_detected
train,A,A194.jpg,expected_2_got_1
train,A,A195.jpg,no_hands_detected
train,A,A197.jpg,expected_2_got_1
train,A,A200.jpg,no_hands_detected
train,A,A201.jpg,no_hands_detected
train,A,A203.jpg,no_hands_detected
train,A,A205.jpg,no_hands_detected
train,A,A206.jpg,no_hands_detected
train,A,A207.jpg,no_hands_detected
train,A,A209.jpg,no_hands_detected
train,A,A21.jpg,no_hands_detected
train,A,A210.jpg,no_hands_detected
train,A,A212.jpg,no_hands_detected
train,A,A215.jpg,no_hands_detected
train,A,A216.jpg,no_hands_detected
train,A,A217.jpg,no_hands_detected
train,A,A218.jpg,no_hands_detected
train,A,A219.jpg,no_hands_detected
train,A,A22.jpg,no_hands_detected
train,A,A221.jpg,no_hands_detected
train,A,A222.jpg,no_hands_detected
train,A,A223.jpg,expected_2_got_1
train,A,A224.jpg,no_hands_detected
train,A,A228.jpg,no_hands_detected
train,A,A229.jpg,no_hands_detected
train,A,A23.jpg,no_hands_detected
train,A,A230.jpg,no_hands_detected
train,A,A234.jpg,no_hands_detected
train,A,A235.jpg,no_hands_detected
train,A,A236.jpg,no_hands_detected
train,A,A238.jpg,no_hands_detected
train,A,A239.jpg,no_hands_detected
train,A,A24.jpg,expected_2_got_1
train,A,A240.jpg,no_hands_detected
train,A,A241.jpg,no_hands_detected
train,A,A242.jpg,no_hands_detected
train,A,A244.jpg,no_hands_detected
train,A,A245.jpg,no_hands_detected
train,A,A246.jpg,no_hands_detected
train,A,A247.jpg,no_hands_detected
train,A,A248.jpg,no_hands_detected
train,A,A249.jpg,no_hands_detected
train,A,A25.jpg,no_hands_detected
train,A,A250.jpg,expected_2_got_1
train,A,A253.jpg,no_hands_detected
train,A,A254.jpg,no_hands_detected
train,A,A256.jpg,no_hands_detected
train,A,A258.jpg,no_hands_detected
train,A,A26.jpg,no_hands_detected
train,A,A260.jpg,no_hands_detected
train,A,A261.jpg,no_hands_detected
train,A,A262.jpg,no_hands_detected
train,A,A265.jpg,no_hands_detected
train,A,A270.jpg,no_hands_detected
train,A,A271.jpg,no_hands_detected
train,A,A273.jpg,no_hands_detected
train,A,A274.jpg,expected_2_got_1
train,A,A275.jpg,no_hands_detected
train,A,A276.jpg,no_hands_detected
train,A,A277.jpg,expected_2_got_1
train,A,A28.jpg,no_hands_detected
train,A,A280.jpg,no_hands_detected
train,A,A281.jpg,expected_2_got_1
train,A,A283.jpg,expected_2_got_1
train,A,A285.jpg,no_hands_detected
train,A,A287.jpg,no_hands_detected
train,A,A288.jpg,no_hands_detected
train,A,A291.jpg,no_hands_detected
train,A,A292.jpg,expected_2_got_1
train,A,A294.jpg,expected_2_got_1
train,A,A295.jpg,expected_2_got_1
train,A,A296.jpg,no_hands_detected
train,A,A297.jpg,no_hands_detected
train,A,A298.jpg,no_hands_detected
train,A,A299.jpg,no_hands_detected
train,A,A3.jpg,no_hands_detected
train,A,A30.jpg,no_hands_detected
train,A,A300.jpg,expected_2_got_1
train,A,A302.jpg,expected_2_got_1
train,A,A303.jpg,no_hands_detected
train,A,A304.jpg,expected_2_got_1
train,A,A305.jpg,expected_2_got_1
train,A,A309.jpg,expected_2_got_1
train,A,A31.jpg,no_hands_detected
train,A,A310.jpg,no_hands_detected
train,A,A311.jpg,no_hands_detected
train,A,A313.jpg,no_hands_detected
train,A,A315.jpg,no_hands_detected
train,A,A316.jpg,no_hands_detected
train,A,A317.jpg,no_hands_detected
train,A,A318.jpg,expected_2_got_1
train,A,A320.jpg,expected_2_got_1
train,A,A321.jpg,expected_2_got_1
train,A,A322.jpg,no_hands_detected
train,A,A323.jpg,no_hands_detected
train,A,A326.jpg,expected_2_got_1
train,A,A327.jpg,no_hands_detected
train,A,A33.jpg,no_hands_detected
train,A,A330.jpg,no_hands_detected
train,A,A331.jpg,no_hands_detected
train,A,A334.jpg,no_hands_detected
train,A,A335.jpg,expected_2_got_1
train,A,A336.jpg,no_hands_detected
train,A,A337.jpg,no_hands_detected
train,A,A34.jpg,no_hands_detected
train,A,A342.jpg,no_hands_detected
train,A,A345.jpg,expected_2_got_1
train,A,A346.jpg,no_hands_detected
train,A,A348.jpg,no_hands_detected
train,A,A35.jpg,expected_2_got_1
train,A,A350.jpg,expected_2_got_1
train,A,A357.jpg,no_hands_detected
train,A,A359.jpg,no_hands_detected
train,A,A36.jpg,no_hands_detected
train,A,A362.jpg,no_hands_detected
train,A,A363.jpg,expected_2_got_1
train,A,A365.jpg,no_hands_detected
train,A,A366.jpg,expected_2_got_1
train,A,A367.jpg,expected_2_got_1
train,A,A368.jpg,no_hands_detected
train,A,A37.jpg,no_hands_detected
train,A,A372.jpg,no_hands_detected
train,A,A375.jpg,no_hands_detected
train,A,A376.jpg,no_hands_detected
train,A,A377.jpg,no_hands_detected
train,A,A378.jpg,no_hands_detected
train,A,A379.jpg,no_hands_detected
train,A,A38.jpg,no_hands_detected
train,A,A380.jpg,expected_2_got_1
train,A,A381.jpg,no_hands_detected
train,A,A382.jpg,expected_2_got_1
train,A,A384.jpg,no_hands_detected
train,A,A385.jpg,no_hands_detected
train,A,A386.jpg,no_hands_detected
train,A,A387.jpg,no_hands_detected
train,A,A389.jpg,no_hands_detected
train,A,A39.jpg,no_hands_detected
train,A,A391.jpg,no_hands_detected
train,A,A392.jpg,no_hands_detected
train,A,A394.jpg,no_hands_detected
train,A,A397.jpg,no_hands_detected
train,A,A398.jpg,expected_2_got_1
train,A,A4.jpg,expected_2_got_1
train,A,A40.jpg,no_hands_detected
train,A,A401.jpg,expected_2_got_1
train,A,A402.jpg,"invalid_handedness_['Right', 'Right']"
train,A,A403.jpg,expected_2_got_1
train,A,A404.jpg,no_hands_detected
train,A,A405.jpg,no_hands_detected
train,A,A407.jpg,expected_2_got_1
train,A,A408.jpg,expected_2_got_1
train,A,A409.jpg,no_hands_detected
train,A,A41.jpg,no_hands_detected
train,A,A410.jpg,expected_2_got_1
train,A,A411.jpg,expected_2_got_1
train,A,A412.jpg,expected_2_got_1
train,A,A413.jpg,no_hands_detected
train,A,A414.jpg,expected_2_got_1
train,A,A416.jpg,no_hands_detected
train,A,A419.jpg,no_hands_detected
train,A,A42.jpg,no_hands_detected
train,A,A420.jpg,no_hands_detected
train,A,A421.jpg,no_hands_detected
train,A,A422.jpg,no_hands_detected
train,A,A423.jpg,no_hands_detected
train,A,A424.jpg,no_hands_detected
train,A,A425.jpg,no_hands_detected
train,A,A427.jpg,no_hands_detected
train,A,A428.jpg,no_hands_detected
train,A,A43.jpg,no_hands_detected
train,A,A430.jpg,no_hands_detected
train,A,A431.jpg,expected_2_got_1
train,A,A432.jpg,no_hands_detected
train,A,A433.jpg,no_hands_detected
train,A,A434.jpg,no_hands_detected
train,A,A436.jpg,no_hands_detected
train,A,A437.jpg,no_hands_detected
train,A,A438.jpg,expected_2_got_1
train,A,A439.jpg,no_hands_detected
train,A,A44.jpg,no_hands_detected
train,A,A440.jpg,no_hands_detected
train,A,A442.jpg,no_hands_detected
train,A,A443.jpg,no_hands_detected
train,A,A444.jpg,no_hands_detected
train,A,A446.jpg,no_hands_detected
train,A,A448.jpg,no_hands_detected
train,A,A45.jpg,no_hands_detected
train,A,A450.jpg,no_hands_detected
train,A,A451.jpg,no_hands_detected
train,A,A452.jpg,no_hands_detected
train,A,A455.jpg,no_hands_detected
train,A,A456.jpg,no_hands_detected
train,A,A457.jpg,no_hands_detected
train,A,A46.jpg,expected_2_got_1
train,A,A460.jpg,no_hands_detected
train,A,A462.jpg,no_hands_detected
train,A,A463.jpg,no_hands_detected
train,A,A466.jpg,no_hands_detected
train,A,A467.jpg,expected_2_got_1
train,A,A468.jpg,no_hands_detected
train,A,A469.jpg,no_hands_detected
train,A,A47.jpg,no_hands_detected
train,A,A470.jpg,no_hands_detected
train,A,A471.jpg,no_hands_detected
train,A,A473.jpg,no_hands_detected
train,A,A475.jpg,expected_2_got_1
train,A,A476.jpg,no_hands_detected
train,A,A477.jpg,expected_2_got_1
train,A,A48.jpg,no_hands_detected
train,A,A480.jpg,no_hands_detected
train,A,A483.jpg,no_hands_detected
train,A,A484.jpg,no_hands_detected
train,A,A485.jpg,no_hands_detected
train,A,A486.jpg,no_hands_detected
train,A,A49.jpg,no_hands_detected
train,A,A50.jpg,no_hands_detected
train,A,A52.jpg,no_hands_detected
train,A,A53.jpg,expected_2_got_1
train,A,A54.jpg,no_hands_detected
train,A,A55.jpg,no_hands_detected
train,A,A56.jpg,no_hands_detected
train,A,A58.jpg,no_hands_detected
train,A,A59.jpg,no_hands_detected
train,A,A6.jpg,no_hands_detected
train,A,A62.jpg,no_hands_detected
train,A,A63.jpg,no_hands_detected
train,A,A64.jpg,no_hands_detected
train,A,A65.jpg,no_hands_detected
train,A,A66.jpg,no_hands_detected
train,A,A67.jpg,no_hands_detected
train,A,A68.jpg,no_hands_detected
train,A,A69.jpg,no_hands_detected
train,A,A7.jpg,no_hands_detected
train,A,A70.jpg,no_hands_detected
train,A,A71.jpg,no_hands_detected
train,A,A72.jpg,no_hands_detected
train,A,A74.jpg,no_hands_detected
train,A,A75.jpg,no_hands_detected
train,A,A77.jpg,no_hands_detected
train,A,A79.jpg,no_hands_detected
train,A,A8.jpg,no_hands_detected
train,A,A81.jpg,no_hands_detected
train,A,A83.jpg,no_hands_detected
train,A,A84.jpg,no_hands_detected
train,A,A86.jpg,expected_2_got_1
train,A,A89.jpg,no_hands_detected
train,A,A90.jpg,no_hands_detected
train,A,A91.jpg,no_hands_detected
train,A,A93.jpg,no_hands_detected
train,A,A95.jpg,no_hands_detected
train,A,A97.jpg,no_hands_detected
train,A,A99.jpg,expected_2_got_1
train,B,1006.jpg,expected_2_got_1
train,B,1013.png,"invalid_handedness_['Left', 'Left']"
train,B,1014.png,"invalid_handedness_['Left', 'Left']"
train,B,1036.png,"invalid_handedness_['Left', 'Left']"
train,B,1041.png,expected_2_got_1
train,B,1042.png,expected_2_got_1
train,B,1043.png,expected_2_got_1
train,B,1044.png,expected_2_got_1
train,B,1047.png,expected_2_got_1
train,B,1048.png,expected_2_got_1
train,B,1049.png,expected_2_got_1
train,B,1051.png,expected_2_got_1
train,B,1052.png,expected_2_got_1
train,B,1054.png,expected_2_got_1
train,B,1055.png,expected_2_got_1
train,B,1056.png,expected_2_got_1
train,B,1057.jpg,expected_2_got_1
train,B,1057.png,expected_2_got_1
train,B,1058.jpg,expected_2_got_1
train,B,1058.png,expected_2_got_1
train,B,1059.jpg,expected_2_got_1
train,B,1060.jpg,expected_2_got_1
train,B,1060.png,expected_2_got_1
train,B,1061.jpg,expected_2_got_1
train,B,1061.png,expected_2_got_1
train,B,1062.jpg,expected_2_got_1
train,B,1062.png,expected_2_got_1
train,B,1063.jpg,expected_2_got_1
train,B,1064.jpg,expected_2_got_1
train,B,1064.png,expected_2_got_1
train,B,1065.jpg,expected_2_got_1
train,B,1065.png,expected_2_got_1
train,B,1066.png,expected_2_got_1
train,B,1067.png,expected_2_got_1
train,B,1068.jpg,expected_2_got_1
train,B,1068.png,expected_2_got_1
train,B,1069.png,expected_2_got_1
train,B,1070.png,expected_2_got_1
train,B,1071.png,expected_2_got_1
train,B,1072.png,expected_2_got_1
train,B,1074.jpg,expected_2_got_1
train,B,1075.jpg,expected_2_got_1
train,B,1075.png,expected_2_got_1
train,B,1076.jpg,expected_2_got_1
train,B,1076.png,expected_2_got_1
train,B,1078.jpg,expected_2_got_1
train,B,1078.png,expected_2_got_1
train,B,1079.jpg,expected_2_got_1
train,B,1079.png,expected_2_got_1
train,B,1080.jpg,expected_2_got_1
train,B,1080.png,expected_2_got_1
train,B,1083.jpg,expected_2_got_1
train,B,1084.jpg,expected_2_got_1
train,B,1085.jpg,expected_2_got_1
train,B,1087.jpg,expected_2_got_1
train,B,1087.png,expected_2_got_1
train,B,1088.jpg,expected_2_got_1
train,B,1089.jpg,expected_2_got_1
train,B,1090.jpg,expected_2_got_1
train,B,1091.jpg,expected_2_got_1
train,B,1092.jpg,expected_2_got_1
train,B,1092.png,"invalid_handedness_['Left', 'Left']"
train,B,1093.jpg,expected_2_got_1
train,B,1093.png,"invalid_handedness_['Left', 'Left']"
train,B,1094.jpg,expected_2_got_1
train,B,1095.jpg,expected_2_got_1
train,B,1096.jpg,expected_2_got_1
train,B,1098.jpg,expected_2_got_1
train,B,1099.jpg,expected_2_got_1
train,B,1100.jpg,expected_2_got_1
train,B,1101.jpg,expected_2_got_1
train,B,1102.jpg,expected_2_got_1
train,B,1103.jpg,expected_2_got_1
train,B,1105.jpg,expected_2_got_1
train,B,1107.jpg,expected_2_got_1
train,B,1108.jpg,expected_2_got_1
train,B,1109.jpg,expected_2_got_1
train,B,1110.jpg,expected_2_got_1
train,B,1111.jpg,expected_2_got_1
train,B,1112.jpg,expected_2_got_1
train,B,1113.jpg,expected_2_got_1
train,B,1114.jpg,expected_2_got_1
train,B,1115.jpg,expected_2_got_1
train,B,1116.jpg,expected_2_got_1
train,B,1117.jpg,expected_2_got_1
train,B,1118.jpg,expected_2_got_1
train,B,1119.jpg,expected_2_got_1
train,B,1120.jpg,expected_2_got_1
train,B,1121.jpg,expected_2_got_1
train,B,1122.jpg,expected_2_got_1
train,B,1123.jpg,expected_2_got_1
train,B,1125.jpg,expected_2_got_1
train,B,1126.jpg,expected_2_got_1
train,B,1127.jpg,expected_2_got_1
train,B,1128.jpg,expected_2_got_1
train,B,1130.jpg,expected_2_got_1
train,B,1131.jpg,expected_2_got_1
train,B,1135.jpg,expected_2_got_1
train,B,1136.jpg,expected_2_got_1
train,B,1136.png,expected_2_got_1
train,B,1137.jpg,expected_2_got_1
train,B,1137.png,expected_2_got_1
train,B,1138.jpg,expected_2_got_1
train,B,1138.png,expected_2_got_1
train,B,1139.png,expected_2_got_1
train,B,1140.jpg,expected_2_got_1
train,B,1140.png,expected_2_got_1
train,B,1141.jpg,expected_2_got_1
train,B,1141.png,expected_2_got_1
train,B,1142.jpg,expected_2_got_1
train,B,1142.png,expected_2_got_1
train,B,1143.jpg,expected_2_got_1
train,B,1143.png,expected_2_got_1
train,B,1145.png,expected_2_got_1
train,B,1147.png,expected_2_got_1
train,B,1148.jpg,expected_2_got_1
train,B,1148.png,expected_2_got_1
train,B,1149.jpg,expected_2_got_1
train,B,1149.png,expected_2_got_1
train,B,1150.jpg,expected_2_got_1
train,B,1150.png,expected_2_got_1
train,B,1151.jpg,expected_2_got_1
train,B,1151.png,expected_2_got_1
train,B,1152.jpg,expected_2_got_1
train,B,1152.png,expected_2_got_1
train,B,1153.png,expected_2_got_1
train,B,1154.jpg,expected_2_got_1
train,B,1154.png,expected_2_got_1
train,B,1155.jpg,expected_2_got_1
train,B,1155.png,expected_2_got_1
train,B,1156.jpg,expected_2_got_1
train,B,1156.png,expected_2_got_1
train,B,1157.jpg,expected_2_got_1
train,B,1157.png,expected_2_got_1
train,B,1158.png,expected_2_got_1
train,B,1159.jpg,expected_2_got_1
